Don_Left,Don_Right,Ka_Left,Ka_Right,Label
0,0,253,7,Ka_Left
145,0,653,28,Ka_Left
142,0,684,46,Ka_Left
40,0,768,28,Ka_Left
72,0,769,32,Ka_Left
21,0,768,39,Ka_Left
0,0,722,29,Ka_Left
0,0,101,3,Ka_Left
0,0,124,3,Ka_Left
0,0,198,6,Ka_Left
0,0,75,3,Ka_Left
0,0,282,14,Ka_Left
0,0,769,27,Ka_Left
0,0,778,27,Ka_Left
31,0,744,63,Ka_Left
23,0,692,28,Ka_Left
29,0,377,21,Ka_Left
112,0,751,23,Ka_Left
91,1,716,128,Ka_Left
57,0,713,142,Ka_Left
72,0,689,196,Ka_Left
106,2,704,197,Ka_Left
44,0,690,182,Ka_Left
194,1,681,196,Ka_Left
235,2,619,142,Ka_Left
214,0,682,60,Ka_Left
200,1,615,23,Ka_Left
184,0,497,31,Ka_Left
160,1,545,29,Ka_Left
166,1,543,21,Ka_Left
145,0,503,26,Ka_Left
117,0,458,26,Ka_Left
0,0,279,11,Ka_Left
0,0,129,4,Ka_Left
177,1,438,18,Ka_Left
210,1,477,17,Ka_Left
250,1,613,32,Ka_Left
336,2,637,34,Ka_Left
348,2,663,21,Ka_Left
341,2,690,104,Ka_Left
256,2,693,30,Ka_Left
281,2,703,132,Ka_Left
203,1,698,125,Ka_Left
189,0,663,101,Ka_Left
106,0,690,101,Ka_Left
76,0,711,40,Ka_Left
49,0,687,35,Ka_Left
17,0,531,26,Ka_Left
13,0,656,48,Ka_Left
0,0,555,25,Ka_Left
0,0,270,18,Ka_Left
0,0,744,30,Ka_Left
76,0,773,24,Ka_Left
0,0,761,51,Ka_Left
0,0,695,32,Ka_Left
0,0,597,30,Ka_Left
0,0,250,9,Ka_Left
44,0,690,30,Ka_Left
0,0,644,35,Ka_Left
62,0,597,27,Ka_Left
0,0,475,24,Ka_Left
0,0,394,16,Ka_Left
0,0,285,8,Ka_Left
0,0,208,13,Ka_Left
93,0,736,36,Ka_Left
54,0,745,33,Ka_Left
69,0,720,56,Ka_Left
0,0,722,28,Ka_Left
22,1,712,31,Ka_Left
38,0,686,29,Ka_Left
59,0,681,49,Ka_Left
47,0,579,50,Ka_Left
62,0,426,26,Ka_Left
57,0,349,17,Ka_Left
52,0,322,18,Ka_Left
0,0,658,104,Ka_Left
138,0,569,348,Ka_Right
0,0,428,292,Ka_Right
0,0,442,297,Ka_Right
0,0,375,62,Ka_Right
26,0,225,28,Ka_Right
16,0,331,20,Ka_Right
0,0,202,21,Ka_Right
155,0,695,320,Ka_Right
178,0,619,297,Ka_Right
41,0,659,346,Ka_Right
0,0,616,257,Ka_Right
0,0,663,196,Ka_Right
0,0,491,23,Ka_Right
0,0,331,20,Ka_Right
93,0,750,237,Ka_Right
0,0,595,102,Ka_Right
12,0,547,51,Ka_Right
17,0,432,36,Ka_Right
0,0,72,5,Ka_Right
89,0,599,188,Ka_Right
122,0,605,274,Ka_Right
0,1,406,229,Ka_Right
0,0,348,154,Ka_Right
0,0,277,86,Ka_Right
0,0,339,248,Ka_Right
0,0,338,216,Ka_Right
2,0,326,187,Ka_Right
0,0,382,231,Ka_Right
0,0,467,230,Ka_Right
0,0,467,243,Ka_Right
45,0,482,132,Ka_Right
0,0,533,217,Ka_Right
0,0,419,195,Ka_Right
0,5,360,180,Ka_Right
0,0,507,210,Ka_Right
1,0,440,293,Ka_Right
0,0,306,273,Ka_Right
0,2,303,190,Ka_Right
0,0,274,162,Ka_Right
0,0,285,21,Ka_Right
0,0,282,41,Ka_Right
0,0,343,130,Ka_Right
0,0,390,26,Ka_Right
0,0,291,24,Ka_Right
62,1,416,190,Ka_Right
90,3,430,292,Ka_Right
0,0,219,150,Ka_Right
0,0,224,54,Ka_Right
0,0,236,130,Ka_Right
0,0,259,96,Ka_Right
0,0,283,154,Ka_Right
0,0,245,170,Ka_Right
0,0,307,141,Ka_Right
